Cohort parity progression ratios
Last modified: 25/09/2014
Code Cohort   PPR0_1    PPR1_2    PPR2_3    PPR3_4
BLR  1949      0.943     0.779     0.258     0.289
BLR  1950      0.936     0.775     0.250     0.288
BLR  1951      0.954     0.773     0.243     0.281
BLR  1952      0.942     0.771     0.239     0.270
BLR  1953      0.928     0.764     0.238     0.258
BLR  1954      0.943     0.764     0.235     0.258
BLR  1955      0.952     0.768     0.230     0.258
BLR  1956      0.951     0.771     0.227     0.253
BLR  1957      0.955     0.770     0.220     0.250
BLR  1958      0.970     0.749     0.214     0.247
BLR  1959      0.965     0.738     0.208     0.253
BLR  1960      0.964     0.731     0.201     0.260
BLR  1961      0.963     0.721     0.199     0.260
BLR  1962      0.956     0.702     0.196     0.250
BGR  1932      0.906     0.806     0.302     0.405
BGR  1933      0.914     0.807     0.293     0.402
BGR  1934      0.918     0.805     0.287     0.397
BGR  1935      0.918     0.806     0.283     0.392
BGR  1936      0.919     0.815     0.280     0.386
BGR  1937      0.921     0.820     0.278     0.375
BGR  1938      0.924     0.818     0.278     0.364
BGR  1939      0.934     0.816     0.279     0.352
BGR  1940      0.954     0.814     0.280     0.339
BGR  1941      0.963     0.812     0.278     0.325
BGR  1942      0.966     0.815     0.273     0.314
BGR  1943      0.959     0.824     0.266     0.308
BGR  1944      0.967     0.820     0.260     0.301
BGR  1945      0.971     0.816     0.254     0.296
BGR  1946      0.960     0.826     0.249     0.297
BGR  1947      0.959     0.830     0.243     0.297
BGR  1948      0.973     0.820     0.240     0.294
BGR  1949      0.984     0.818     0.238     0.293
BGR  1950      0.976     0.819     0.240     0.285
BGR  1951      0.963     0.827     0.242     0.283
BGR  1952      0.966     0.816     0.238     0.283
BGR  1953      0.971     0.812     0.233     0.286
BGR  1954      0.975     0.810     0.231     0.287
BGR  1955      0.969     0.808     0.231     0.283
BGR  1956      0.976     0.805     0.231     0.276
BGR  1957      0.981     0.803     0.230     0.285
BGR  1958      0.981     0.789     0.223     0.280
BGR  1959      0.975     0.781     0.218     0.292
