Parity- and age-adjusted total fertility rate (based on parity distribution from population census)
Last modified: 25/09/2014
Code Year    PATFR   PATFR1   PATFR2   PATFR3   PATFR4  PATFR5p
AUT  1991    1.524    0.775    0.511    0.172    0.048    0.018
AUT  2001    1.360    0.734    0.458    0.128    0.030    0.010
BLR  1989    1.966    0.955    0.773    0.173    0.039    0.026
BLR  1999    1.399    0.871    0.434    0.066    0.016    0.012
BGR  2001    1.348    0.830    0.387    0.067    0.028    0.037
CAN  1991    1.742    0.788    0.612    0.237    0.070    0.036
CHL  1992    2.517    0.929    0.822    0.505    0.183    0.078
CHL  2002    2.032    0.871    0.691    0.332    0.103    0.035
CZE  1950    2.922    0.916    0.783    0.482    0.280    0.460
CZE  1961    2.105    0.929    0.738    0.286    0.089    0.063
CZE  1970    1.924    0.922    0.700    0.205    0.054    0.042
CZE  1980    2.110    0.943    0.809    0.263    0.062    0.034
CZE  1991    1.905    0.924    0.731    0.188    0.042    0.021
CZE  2001    1.287    0.756    0.435    0.073    0.014    0.009
EST  1979    1.973    0.933    0.690    0.215    0.066    0.069
EST  1989    2.207    0.937    0.745    0.304    0.114    0.107
EST  2000    1.416    0.810    0.434    0.116    0.033    0.023
FIN  1987    1.593    0.759    0.540    0.202    0.056    0.036
FIN  1988    1.696    0.775    0.569    0.236    0.070    0.046
FIN  1989    1.715    0.774    0.574    0.242    0.074    0.052
FIN  1990    1.795    0.784    0.594    0.267    0.088    0.062
FIN  1991    1.810    0.790    0.603    0.267    0.087    0.062
FIN  1992    1.854    0.791    0.611    0.282    0.097    0.073
FIN  1993    1.814    0.785    0.604    0.269    0.090    0.066
FIN  1994    1.840    0.781    0.605    0.278    0.095    0.081
FIN  1995    1.803    0.783    0.603    0.267    0.087    0.064
FIN  1996    1.767    0.779    0.594    0.257    0.081    0.057
FIN  1997    1.752    0.779    0.596    0.248    0.075    0.054
FIN  1998    1.709    0.768    0.580    0.237    0.071    0.053
FIN  1999    1.749    0.770    0.589    0.252    0.079    0.059
FIN  2000    1.739    0.764    0.586    0.250    0.078    0.061
FIN  2001    1.737    0.763    0.582    0.249    0.081    0.062
FIN  2002    1.730    0.763    0.582    0.246    0.077    0.063
FIN  2003    1.772    0.776    0.599    0.253    0.079    0.065
FIN  2004    1.815    0.782    0.607    0.263    0.088    0.076
FIN  2005    1.814    0.783    0.609    0.260    0.086    0.077
FIN  2006    1.842    0.788    0.619    0.267    0.090    0.079
FIN  2007    1.831    0.785    0.613    0.263    0.087    0.082
FIN  2008    1.845    0.788    0.618    0.266    0.090    0.082
FIN  2009    1.864    0.793    0.625    0.270    0.091    0.085
HUN  1970    1.937    0.910    0.664    0.205    0.072    0.086
HUN  1971    1.901    0.904    0.652    0.195    0.069    0.083
HUN  1972    1.902    0.901    0.655    0.194    0.068    0.083
HUN  1973    1.918    0.900    0.654    0.205    0.073    0.086
HUN  1974    2.216    0.915    0.745    0.296    0.117    0.142
HUN  1975    2.254    0.918    0.776    0.315    0.119    0.126
HUN  1976    2.149    0.918    0.769    0.279    0.095    0.089
