Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 25/09/2014
Code Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
AUT  1969         .         .         .         .         .         .     1.570     0.780     0.552     0.174     0.046     0.017
AUT  1970         .         .         .         .         .         .     1.577     0.781     0.555     0.178     0.047     0.017
BLR  1949     1.968     0.943     0.734     0.189     0.055     0.047     1.951     0.939     0.731     0.186     0.052     0.043
BLR  1950     1.938     0.936     0.725     0.181     0.052     0.044     1.923     0.932     0.722     0.178     0.050     0.041
BLR  1951     1.964     0.954     0.737     0.179     0.050     0.043     1.950     0.951     0.734     0.176     0.049     0.040
BLR  1952     1.928     0.942     0.726     0.174     0.047     0.039     1.915     0.940     0.724     0.171     0.045     0.036
BLR  1953     1.886     0.928     0.709     0.169     0.044     0.037     1.874     0.926     0.706     0.166     0.042     0.034
BLR  1954     1.915     0.943     0.720     0.170     0.044     0.038     1.903     0.941     0.718     0.167     0.042     0.035
BLR  1955     1.931     0.952     0.731     0.168     0.043     0.036     1.920     0.950     0.729     0.166     0.042     0.033
BLR  1956     1.926     0.951     0.733     0.166     0.042     0.033     1.915     0.949     0.731     0.164     0.041     0.031
BLR  1957     1.924     0.955     0.735     0.161     0.040     0.032     1.913     0.953     0.733     0.159     0.039     0.029
BLR  1958     1.921     0.970     0.727     0.156     0.039     0.030     1.911     0.968     0.724     0.153     0.037     0.028
BLR  1959     1.891     0.965     0.712     0.148     0.037     0.028     1.880     0.964     0.710     0.145     0.036     0.026
BLR  1960     1.873     0.964     0.705     0.142     0.037     0.026     1.862     0.962     0.702     0.139     0.035     0.024
BLR  1961     1.857     0.963     0.694     0.138     0.036     0.026     1.845     0.961     0.691     0.135     0.034     0.024
BLR  1962     1.815     0.956     0.671     0.132     0.033     0.024     1.803     0.954     0.668     0.128     0.031     0.022
BLR  1963         .         .         .         .         .         .     1.723     0.927     0.629     0.118     0.029     0.020
BLR  1964         .         .         .         .         .         .     1.671     0.908     0.603     0.112     0.028     0.020
BLR  1965         .         .         .         .         .         .     1.674     0.912     0.602     0.112     0.029     0.020
BLR  1966         .         .         .         .         .         .     1.684     0.919     0.604     0.111     0.030     0.020
BLR  1967         .         .         .         .         .         .     1.694     0.948     0.590     0.109     0.028     0.019
BLR  1968         .         .         .         .         .         .     1.689     0.957     0.577     0.109     0.027     0.019
BLR  1969         .         .         .         .         .         .     1.674     0.957     0.562     0.109     0.027     0.019
BLR  1970         .         .         .         .         .         .     1.643     0.946     0.546     0.108     0.026     0.017
BLR  1971         .         .         .         .         .         .     1.593     0.915     0.529     0.106     0.026     0.016
BLR  1972         .         .         .         .         .         .     1.559     0.897     0.512     0.107     0.027     0.016
BGR  1932     2.046     0.906     0.730     0.220     0.089     0.100     2.030     0.904     0.727     0.218     0.088     0.093
BGR  1933     2.049     0.914     0.738     0.216     0.087     0.093     2.034     0.912     0.735     0.214     0.085     0.087
BGR  1934     2.041     0.918     0.739     0.212     0.084     0.088     2.027     0.915     0.736     0.210     0.083     0.083
BGR  1935     2.032     0.918     0.740     0.209     0.082     0.083     2.019     0.916     0.737     0.207     0.081     0.078
