Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 25/09/2014
Code Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
AUT  1984     1.522     0.685     0.506     0.209     0.076     0.047     1.502     0.683     0.503     0.204     0.072     0.040
AUT  1985     1.474     0.667     0.495     0.201     0.070     0.042     1.454     0.665     0.491     0.196     0.067     0.036
AUT  1986     1.449     0.664     0.485     0.194     0.069     0.038     1.430     0.662     0.482     0.190     0.065     0.032
AUT  1987     1.432     0.663     0.480     0.186     0.064     0.038     1.411     0.661     0.477     0.182     0.060     0.032
AUT  1988     1.447     0.679     0.483     0.189     0.062     0.034     1.429     0.677     0.480     0.184     0.059     0.029
AUT  1989     1.446     0.668     0.490     0.193     0.063     0.032     1.427     0.665     0.486     0.189     0.059     0.028
AUT  1990     1.457     0.672     0.500     0.195     0.061     0.030     1.437     0.670     0.496     0.190     0.057     0.025
AUT  1991     1.507     0.706     0.509     0.198     0.064     0.030     1.488     0.704     0.506     0.193     0.060     0.026
AUT  1992     1.505     0.705     0.512     0.199     0.061     0.028     1.485     0.702     0.507     0.194     0.058     0.024
AUT  1993     1.501     0.697     0.524     0.194     0.059     0.028     1.480     0.694     0.519     0.189     0.055     0.024
AUT  1994     1.465     0.674     0.520     0.189     0.057     0.026     1.445     0.671     0.515     0.184     0.053     0.022
AUT  1995     1.424     0.658     0.504     0.182     0.055     0.025     1.403     0.655     0.500     0.177     0.051     0.021
AUT  1996     1.446     0.670     0.515     0.183     0.054     0.023     1.424     0.666     0.510     0.177     0.050     0.020
AUT  1997     1.393     0.659     0.486     0.176     0.050     0.021     1.370     0.656     0.480     0.171     0.046     0.018
AUT  1998     1.370     0.646     0.485     0.169     0.049     0.021     1.348     0.642     0.479     0.164     0.045     0.018
AUT  1999     1.340     0.639     0.468     0.165     0.048     0.020     1.316     0.635     0.461     0.159     0.044     0.017
AUT  2000     1.365     0.652     0.481     0.164     0.048     0.019     1.341     0.647     0.475     0.159     0.044     0.016
AUT  2001     1.330     0.642     0.462     0.161     0.046     0.020     1.304     0.636     0.455     0.154     0.042     0.016
AUT  2002     1.393     0.664     0.484     0.174     0.051     0.021     1.365     0.658     0.476     0.166     0.047     0.017
AUT  2003     1.376     0.656     0.477     0.173     0.049     0.021     1.346     0.649     0.469     0.165     0.045     0.018
AUT  2004     1.419     0.677     0.492     0.175     0.053     0.022     1.389     0.671     0.483     0.168     0.048     0.019
AUT  2005     1.406     0.671     0.485     0.176     0.051     0.022     1.374     0.664     0.476     0.168     0.047     0.019
AUT  2006     1.405     0.672     0.485     0.174     0.053     0.022     1.370     0.663     0.474     0.166     0.048     0.018
AUT  2007     1.379     0.652     0.482     0.171     0.051     0.023     1.343     0.643     0.471     0.163     0.047     0.020
AUT  2008     1.411     0.673     0.491     0.173     0.050     0.024     1.372     0.664     0.479     0.164     0.046     0.020
AUT  2009     1.391     0.665     0.481     0.172     0.049     0.023     1.350     0.655     0.469     0.163     0.045     0.019
AUT  2010     1.438     0.689     0.504     0.173     0.049     0.023     1.395     0.677     0.491     0.164     0.045     0.020
BLR  1964     2.282     0.891     0.697     0.375     0.163     0.155     2.191     0.881     0.685     0.360     0.150     0.115
BLR  1965     2.241     0.910     0.671     0.354     0.160     0.146     2.152     0.900     0.659     0.338     0.145     0.109
BLR  1966     2.309     0.914     0.703     0.369     0.168     0.155     2.222     0.905     0.690     0.355     0.154     0.119
BLR  1967     2.286     0.951     0.720     0.336     0.148     0.131     2.210     0.943     0.708     0.322     0.136     0.101
BLR  1968     2.316     0.982     0.733     0.330     0.142     0.129     2.234     0.970     0.719     0.316     0.131     0.099
BLR  1969     2.290     0.979     0.741     0.315     0.135     0.120     2.219     0.969     0.728     0.303     0.125     0.094
BLR  1970     2.354     1.021     0.775     0.320     0.127     0.111     2.291     1.013     0.764     0.309     0.117     0.088
BLR  1971     2.360     1.042     0.778     0.309     0.123     0.107     2.302     1.034     0.768     0.299     0.114     0.086
BLR  1972     2.311     1.023     0.781     0.293     0.114     0.100     2.256     1.015     0.772     0.282     0.106     0.081
BLR  1973     2.227     0.991     0.763     0.275     0.104     0.093     2.174     0.983     0.755     0.265     0.096     0.075
BLR  1974     2.214     0.992     0.771     0.264     0.098     0.089     2.166     0.986     0.761     0.255     0.091     0.073
BLR  1975     2.157     0.976     0.756     0.244     0.093     0.089     2.113     0.970     0.748     0.235     0.086     0.073
BLR  1976     2.120     0.981     0.745     0.228     0.084     0.082     2.078     0.975     0.737     0.220     0.078     0.068
